times,C_5,C_10,C_20,C_30,C_40,C_50,C_60,C_70,C_80,C_90,chi
0.05,1.207114141295666682883317736536522274611167996518891150129920452610116651162689e-34,1.20711423353601108728537784895391749637697829962325217599582853660500928693856e-34,1.207114221012263999032300824414015486367033802759122001640652494647842562342502e-34,1.207114233536742783352412688434004929640225689302396624293726094736563346946413e-34,1.207114141295666682883317736536522274611167996518891150129920452610116651162689e-34,1.207114141295666682883317736536522274611167996518891150129920452610116651162689e-34,1.207114141295666682883317736536522274611167996518891150129920452610116651162689e-34,1.207114141295666682883317736536522274611167996518891150129920452610116651162689e-34,1.207114141295666682883317736536522274611167996518891150129920452610116651162689e-34,1.207114141295666682883317736536522274611167996518891150129920452610116651162689e-34,4
0.1,1.207132759893352626872234979713395740745192391376766493467649974070426988746413e-34,1.207133143119765794200942905204347773005426658866766205767613681206012065323504e-34,1.207133130595552148140072186992455470949776199325870050645046501948129104918815e-34,1.20713314312056847889867779340079669891724159190461198569464682943098399439115e-34,1.207132759893352626872234979713395740745192391376766493467649974070426988746413e-34,1.207132759893352626872234979713395740745192391376766493467649974070426988746413e-34,1.207132759893352626872234979713395740745192391376766493467649974070426988746413e-34,1.207132759893352626872234979713395740745192391376766493467649974070426988746413e-34,1.207132759893352626872234979713395740745192391376766493467649974070426988746413e-34,1.207132759893352626872234979713395740745192391376766493467649974070426988746413e-34,4
0.15,1.207172147392036089901257162251854975551069596588609075332723564918304194036546e-34,1.20717301325129078670913071180346037571221356253253586175521201334059903789245e-34,1.207173000726269751884635343130781940400565983345687211959102700972035735410129e-34,1.20717301325223159988708316467090184454865088415387881105700899048228163988969e-34,1.207172147392036089901257162251854975551069596588609075332723564918304194036546e-34,1.207172147392036089901257162251854975551069596588609075332723564918304194036546e-34,1.207172147392036089901257162251854975551069596588609075332723564918304194036546e-34,1.207172147392036089901257162251854975551069596588609075332723564918304194036546e-34,1.207172147392036089901257162251854975551069596588609075332723564918304194036546e-34,1.207172147392036089901257162251854975551069596588609075332723564918304194036546e-34,4
0.2,1.207231365904427476926051859052210286872947809057131436344020856444434216540717e-34,1.20723287169416949637325974787318904401849994730879065278204543397809409386893e-34,1.207232859167885206036186403850318745551017891726738788332523271392926061250314e-34,1.207232871695252286812612298173353498152072355647536265342113591306612433985754e-34,1.207231365904427476926051859052210286872947809057131436344020856444434216540717e-34,1.207231365904427476926051859052210286872947809057131436344020856444434216540717e-34,1.207231365904427476926051859052210286872947809057131436344020856444434216540717e-34,1.207231365904427476926051859052210286872947809057131436344020856444434216540717e-34,1.207231365904427476926051859052210286872947809057131436344020856444434216540717e-34,1.207231365904427476926051859052210286872947809057131436344020856444434216540717e-34,4
0.25,1.207309077909901977034743168840053930598605170664787854013568613924499493368314e-34,1.207311320197372603740946795256984269554104862706602933248020694531413602823298e-34,1.207311307669504967589614834533340317283482269259540946166724301097572918434327e-34,1.207311320198745549517226954316493740326551235918112723581393055946582690874271e-34,1.207309077909901977034743168840053930598605170664787854013568613924499493368314e-34,1.207309077909901977034743168840053930598605170664787854013568613924499493368314e-34,1.207309077909901977034743168840053930598605170664787854013568613924499493368314e-34,1.207309077909901977034743168840053930598605170664787854013568613924499493368314e-34,1.207309077909901977034743168840053930598605170664787854013568613924499493368314e-34,1.207309077909901977034743168840053930598605170664787854013568613924499493368314e-34,4
0.30000000000000004,1.207401711852484355174135412633481138593302357451029597734951371840645500814091e-34,1.207404702018022575878500925894298642450042268745640404459318389701551218710684e-34,1.207404689488349861352561099919077217470964250496901786013074250579054960217007e-34,1.207404702019686104634062308464456512347197351067014982997495772011162728605805e-34,1.207401711852484355174135412633481138593302357451029597734951371840645500814091e-34,1.207401711852484355174135412633481138593302357451029597734951371840645500814091e-34,1.207401711852484355174135412633481138593302357451029597734951371840645500814091e-34,1.207401711852484355174135412633481138593302357451029597734951371840645500814091e-34,1.207401711852484355174135412633481138593302357451029597734951371840645500814091e-34,1.207401711852484355174135412633481138593302357451029597734951371840645500814091e-34,5
0.35000000000000003,1.207506318838650750239906418254816146108699533093498022689151144550837248139731e-34,1.207509964687326067924845835356132058807368363672968914698266735915444484928857e-34,1.207509952155738798581772767795667244746140395924797394422865748309624131370795e-34,1.207509964689397353664578883294065128947952076069775539672472944454417068007781e-34,1.207506318838650750239906418254816146108699533093498022689151144550837248139731e-34,1.207506318838650750239906418254816146108699533093498022689151144550837248139731e-34,1.207506318838650750239906418254816146108699533093498022689151144550837248139731e-34,1.207506318838650750239906418254816146108699533093498022689151144550837248139731e-34,1.207506318838650750239906418254816146108699533093498022689151144550837248139731e-34,1.207506318838650750239906418254816146108699533093498022689151144550837248139731e-34,6
0.4,1.207620421568083362277313081246534202718477080791653691049939654761199579391559e-34,1.207624515351331692539139968380002166234409248729341898664003012907553324214484e-34,1.207624502817822384637745401086484769588923307332476794008180882682054582167061e-34,1.207624515353792132820662440004013298484610216887704016303952516536949165392268e-34,1.207620421568083362277313081246534202718477080791653691049939654761199579391559e-34,1.207620421568083362277313081246534202718477080791653691049939654761199579391559e-34,1.207620421568083362277313081246534202718477080791653691049939654761199579391559e-34,1.207620421568083362277313081246534202718477080791653691049939654761199579391559e-34,1.207620421568083362277313081246534202718477080791653691049939654761199579391559e-34,1.207620421568083362277313081246534202718477080791653691049939654761199579391559e-34,6
0.45,1.207738489868858035549010764765315129404219631680133775825533727123263771705181e-34,1.207742709026101214448410021400055030790024974154802762764121758717597181768238e-34,1.207742696490900581038469112701659902668125575025023401522569153676028125675776e-34,1.207742709029045104410693969372540063276404302355404973215744663555480378199604e-34,1.207738489868858035549010764765315129404219631680133775825533727123263771705181e-34,1.207738489868858035549010764765315129404219631680133775825533727123263771705181e-34,1.207738489868858035549010764765315129404219631680133775825533727123263771705181e-34,1.207738489868858035549010764765315129404219631680133775825533727123263771705181e-34,1.207738489868858035549010764765315129404219631680133775825533727123263771705181e-34,1.207738489868858035549010764765315129404219631680133775825533727123263771705181e-34,6
0.5,1.207855622415347480910165713475547007645615307349350680918600120666350705200025e-34,1.207859538491976132444694011755794775381849405534957635920991951641282187511894e-34,1.207859525955385875206681968697058259539948607946744677517535129680668760878507e-34,1.207859538495348733866476747909920749917559831428921803952183706290318478717002e-34,1.207855622415347480910165713475547007645615307349350680918600120666350705200025e-34,1.207855622415347480910165713475547007645615307349350680918600120666350705200025e-34,1.207855622415347480910165713475547007645615307349350680918600120666350705200025e-34,1.207855622415347480910165713475547007645615307349350680918600120666350705200025e-34,1.207855622415347480910165713475547007645615307349350680918600120666350705200025e-34,1.207855622415347480910165713475547007645615307349350680918600120666350705200025e-34,6
0.5499999999999999,1.207965701852589251781327918431383763683278799598044049620291179580345441253569e-34,1.2079688021461547536883311791551086976748813496574637042182463518825181010539e-34,1.20796878960873016621841675630347295196939454548595979395669593792034887601296e-34,1.20796880214994580315312594945959443459988901155437517947298735295570731319278e-34,1.207965701852589251781327918431383763683278799598044049620291179580345441253569e-34,1.207965701852589251781327918431383763683278799598044049620291179580345441253569e-34,1.207965701852589251781327918431383763683278799598044049620291179580345441253569e-34,1.207965701852589251781327918431383763683278799598044049620291179580345441253569e-34,1.207965701852589251781327918431383763683278799598044049620291179580345441253569e-34,1.207965701852589251781327918431383763683278799598044049620291179580345441253569e-34,6
0.6,1.208062090069337648319591601741827589454394802984705875268489434165528357825993e-34,1.208063800270917888896021679212889979319632795924699844445333400240063861565033e-34,1.208063787733257029025735106266135410190449800755108670779581699972994801249787e-34,1.208063800275089540055533578177386128637562828841154603735801360247842853602797e-34,1.208062090069337648319591601741827589454394802984705875268489434165528357825993e-34,1.208062090069337648319591601741827589454394802984705875268489434165528357825993e-34,1.208062090069337648319591601741827589454394802984705875268489434165528357825993e-34,1.208062090069337648319591601741827589454394802984705875268489434165528357825993e-34,1.208062090069337648319591601741827589454394802984705875268489434165528357825993e-34,1.208062090069337648319591601741827589454394802984705875268489434165528357825993e-34,6
0.65,1.208146375006480895165191053828841790439676957225435595760251914046125377289439e-34,1.208146136430421198247803589586462653324138684714408320059399006975123754537162e-34,1.208146123893161894547561268113584238393780528182290341572914289224436495710737e-34,1.208146136434917429953709084790226109390639593590226396858986924096783244263974e-34,1.208146375006480895165191053828841790439676957225435595760251914046125377289439e-34,1.208146375006480895165191053828841790439676957225435595760251914046125377289439e-34,1.208146375006480895165191053828841790439676957225435595760251914046125377289439e-34,1.208146375006480895165191053828841790439676957225435595760251914046125377289439e-34,1.208146375006480895165191053828841790439676957225435595760251914046125377289439e-34,1.208146375006480895165191053828841790439676957225435595760251914046125377289439e-34,6
0.7000000000000001,1.208184820915269007002652527093529980966339346865463075207633800046099437417474e-34,1.208182082898978535695832229760816291227878585519068083232004712501908149396055e-34,1.208182070379108239199449733161728206552807970090521775647483441580161255893626e-34,1.208182082903541693430078433543559106327516967501131692561470460042964606037671e-34,1.208184820915269007002652527093529980966339346865463075207633800046099437417474e-34,1.208184820915269007002652527093529980966339346865463075207633800046099437417474e-34,1.208184820915269007002652527093529980966339346865463075207633800046099437417474e-34,1.208184820915269007002652527093529980966339346865463075207633800046099437417474e-34,1.208184820915269007002652527093529980966339346865463075207633800046099437417474e-34,1.208184820915269007002652527093529980966339346865463075207633800046099437417474e-34,6
0.7500000000000001,1.208194128053949649644074658430392079279120409045735251679158471065926567677901e-34,1.208188552919667808828184582578689899097315579475046437815626482382351555244534e-34,1.208188540428326389026149374930854209429702509502423236513596092858754545578426e-34,1.208188552924206590948274745537139912504373539942375252549545671879282599016221e-34,1.208194128053949649644074658430392079279120409045735251679158471065926567677901e-34,1.208194128053949649644074658430392079279120409045735251679158471065926567677901e-34,1.208194128053949649644074658430392079279120409045735251679158471065926567677901e-34,1.208194128053949649644074658430392079279120409045735251679158471065926567677901e-34,1.208194128053949649644074658430392079279120409045735251679158471065926567677901e-34,1.208194128053949649644074658430392079279120409045735251679158471065926567677901e-34,6
0.8000000000000002,1.208205985180853744546642272573736001157098145735679898466163293358429003677973e-34,1.208197395301284021845207241238590740996042345862294643973816145237745733033936e-34,1.208197382832549487424662246492766782496348625976341293530965482813198301541519e-34,1.208197395305777901518167855310185593390452161434059363400149569916551016255755e-34,1.208205985180853744546642272573736001157098145735679898466163293358429003677973e-34,1.208205985180853744546642272573736001157098145735679898466163293358429003677973e-34,1.208205985180853744546642272573736001157098145735679898466163293358429003677973e-34,1.208205985180853744546642272573736001157098145735679898466163293358429003677973e-34,1.208205985180853744546642272573736001157098145735679898466163293358429003677973e-34,1.208205985180853744546642272573736001157098145735679898466163293358429003677973e-34,7
0.8500000000000002,1.20822019503313715695202446068870994634156788285483392471933973876029870865284e-34,1.208208447645834717854407251526826792086518575512195940555770229366713295290813e-34,1.208208435193146821289725377313475540806850236470998116533819054113041825636328e-34,1.208208447650328597527367865598421644480928391083960659982103654045518578512632e-34,1.20822019503313715695202446068870994634156788285483392471933973876029870865284e-34,1.20822019503313715695202446068870994634156788285483392471933973876029870865284e-34,1.20822019503313715695202446068870994634156788285483392471933973876029870865284e-34,1.20822019503313715695202446068870994634156788285483392471933973876029870865284e-34,1.20822019503313715695202446068870994634156788285483392471933973876029870865284e-34,1.20822019503313715695202446068870994634156788285483392471933973876029870865284e-34,8
0.9000000000000002,1.208236503937036012684956606001626417644890442783084419404335234163270096123952e-34,1.208221494001873922840063181245774415937713175826479959338224510559464405861657e-34,1.208221481558136153094184437060915210693406975063957856196868305577736198570921e-34,1.208221494006386618776582844374718097708851737830671537750593874781103341123421e-34,1.208236503937036012684956606001626417644890442783084419404335234163270096123952e-34,1.208236503937036012684956606001626417644890442783084419404335234163270096123952e-34,1.208236503937036012684956606001626417644890442783084419404335234163270096123952e-34,1.208236503937036012684956606001626417644890442783084419404335234163270096123952e-34,1.208236503937036012684956606001626417644890442783084419404335234163270096123952e-34,1.208236503937036012684956606001626417644890442783084419404335234163270096123952e-34,8
0.9500000000000003,1.20825479494918555805744859478899108915579228161587387483559339879559755244793e-34,1.208236456205196526072465714450163114243840835758654227692555613873983970393267e-34,1.20823644376278530290749992880839638005891125848222568306673314666202823191864e-34,1.208236456209765884620839332126804975388083009178676688278783205128019698729864e-34,1.20825479494918555805744859478899108915579228161587387483559339879559755244793e-34,1.20825479494918555805744859478899108915579228161587387483559339879559755244793e-34,1.20825479494918555805744859478899108915579228161587387483559339879559755244793e-34,1.20825479494918555805744859478899108915579228161587387483559339879559755244793e-34,1.20825479494918555805744859478899108915579228161587387483559339879559755244793e-34,1.20825479494918555805744859478899108915579228161587387483559339879559755244793e-34,8
1.0000000000000002,1.208274823294037446213247985427214234812086930884260285905330042064877757101486e-34,1.208253130294344190157663485297590169619886515751721831379431204322712318898787e-34,1.20825311784529467473753591517341710782222214596251755856642942976060247551363e-34,1.20825313029902730157209862682093177199617065624050666674487606644933330729505e-34,1.208274823294037446213247985427214234812086930884260285905330042064877757101486e-34,1.208274823294037446213247985427214234812086930884260285905330042064877757101486e-34,1.208274823294037446213247985427214234812086930884260285905330042064877757101486e-34,1.208274823294037446213247985427214234812086930884260285905330042064877757101486e-34,1.208274823294037446213247985427214234812086930884260285905330042064877757101486e-34,1.208274823294037446213247985427214234812086930884260285905330042064877757101486e-34,8
