Running on host bp1-compute202.data.bp.acrc.priv
Started on Thu Mar  7 16:27:26 GMT 2024
Directory is /user/home/pq20206/XYZ_heisenberg
Slurm job ID is 8067689
This jobs runs on the following machines:
bp1-compute202




Ended on: Thu Mar  7 16:28:34 GMT 2024
After sweep 63: maxlinkdim=15 maxerr=8.46E-11 current_time=0.0 + 3.15im time=3.75
After sweep 64: maxlinkdim=15 maxerr=9.75E-11 current_time=0.0 + 3.2im time=3.225
After sweep 65: maxlinkdim=15 maxerr=9.80E-11 current_time=0.0 + 3.25im time=3.279
After sweep 66: maxlinkdim=15 maxerr=9.22E-11 current_time=0.0 + 3.3im time=4.194
After sweep 67: maxlinkdim=16 maxerr=9.95E-11 current_time=0.0 + 3.35im time=3.852
After sweep 68: maxlinkdim=16 maxerr=7.48E-11 current_time=0.0 + 3.4im time=4.457
After sweep 69: maxlinkdim=16 maxerr=8.56E-11 current_time=0.0 + 3.45im time=4.37
After sweep 70: maxlinkdim=17 maxerr=9.59E-11 current_time=0.0 + 3.5im time=4.813
After sweep 71: maxlinkdim=17 maxerr=9.03E-11 current_time=0.0 + 3.55im time=4.327
After sweep 72: maxlinkdim=18 maxerr=9.60E-11 current_time=0.0 + 3.6im time=3.769
After sweep 73: maxlinkdim=18 maxerr=9.43E-11 current_time=0.0 + 3.65im time=3.953
After sweep 74: maxlinkdim=18 maxerr=8.42E-11 current_time=0.0 + 3.7im time=3.612
After sweep 75: maxlinkdim=18 maxerr=9.61E-11 current_time=0.0 + 3.75im time=3.723
After sweep 76: maxlinkdim=19 maxerr=9.59E-11 current_time=0.0 + 3.8im time=3.541
After sweep 77: maxlinkdim=19 maxerr=9.72E-11 current_time=0.0 + 3.85im time=3.704
After sweep 78: maxlinkdim=20 maxerr=9.72E-11 current_time=0.0 + 3.9im time=3.491
After sweep 79: maxlinkdim=20 maxerr=8.91E-11 current_time=0.0 + 3.95im time=3.296
After sweep 80: maxlinkdim=20 maxerr=9.97E-11 current_time=0.0 + 4.0im time=3.638
After sweep 81: maxlinkdim=21 maxerr=7.92E-11 current_time=0.0 + 4.05im time=3.549
After sweep 82: maxlinkdim=21 maxerr=9.01E-11 current_time=0.0 + 4.1im time=3.499
After sweep 83: maxlinkdim=21 maxerr=9.75E-11 current_time=0.0 + 4.15im time=3.444
After sweep 84: maxlinkdim=22 maxerr=8.50E-11 current_time=0.0 + 4.2im time=4.033
After sweep 85: maxlinkdim=22 maxerr=9.66E-11 current_time=0.0 + 4.25im time=3.632
After sweep 86: maxlinkdim=22 maxerr=7.86E-11 current_time=0.0 + 4.3im time=4.023
After sweep 87: maxlinkdim=22 maxerr=8.92E-11 current_time=0.0 + 4.35im time=3.646
After sweep 88: maxlinkdim=22 maxerr=9.86E-11 current_time=0.0 + 4.4im time=3.615
After sweep 89: maxlinkdim=23 maxerr=7.12E-11 current_time=0.0 + 4.45im time=4.083
After sweep 90: maxlinkdim=23 maxerr=8.25E-11 current_time=0.0 + 4.5im time=3.926
After sweep 91: maxlinkdim=23 maxerr=9.53E-11 current_time=0.0 + 4.55im time=4.138
After sweep 92: maxlinkdim=23 maxerr=9.83E-11 current_time=0.0 + 4.6im time=4.795
After sweep 93: maxlinkdim=24 maxerr=8.27E-11 current_time=0.0 + 4.65im time=3.553
After sweep 94: maxlinkdim=24 maxerr=9.38E-11 current_time=0.0 + 4.7im time=3.637
After sweep 95: maxlinkdim=24 maxerr=9.75E-11 current_time=0.0 + 4.75im time=3.527
After sweep 96: maxlinkdim=24 maxerr=9.09E-11 current_time=0.0 + 4.8im time=3.67
After sweep 97: maxlinkdim=24 maxerr=9.95E-11 current_time=0.0 + 4.85im time=3.587
After sweep 98: maxlinkdim=25 maxerr=9.70E-11 current_time=0.0 + 4.9im time=3.865
After sweep 99: maxlinkdim=25 maxerr=9.65E-11 current_time=0.0 + 4.95im time=3.573
After sweep 100: maxlinkdim=26 maxerr=9.25E-11 current_time=0.0 + 5.0im time=3.696
After sweep 101: maxlinkdim=26 maxerr=9.37E-11 current_time=0.0 + 5.05im time=3.414
After sweep 102: maxlinkdim=26 maxerr=9.63E-11 current_time=0.0 + 5.1im time=3.638
After sweep 103: maxlinkdim=27 maxerr=9.92E-11 current_time=0.0 + 5.15im time=3.748
After sweep 104: maxlinkdim=27 maxerr=9.60E-11 current_time=0.0 + 5.2im time=3.875
