times,C_5,C_10,C_20,C_30,C_40,C_50
0.5499999999999999,0.0,3.673644054073945327112000474446239162484916649234140523111523764770387121346594e-40,3.673644054073945327112000474446239162484916649234140523111523764770387121346594e-40,3.673644054073945327112000474446239162484916649234140523111523764770387121346594e-40,3.673644054073945327112000474446239162484916649234140523111523764770387121346594e-40,3.673644054073945327112000474446239162484916649234140523111523764770387121346594e-40
0.6,1.216712704371322363171000608913044313223538212587611194839241524573417488895449e-38,0.0,0.0,0.0,0.0,0.0
0.65,2.036201014618650719246953660264055280024176773540056820515698820850450953549485e-38,2.835994915728966101989026967976130807667005134770939669811885830430497890120023e-38,2.835994915728966101989026967976130807667005134770939669811885830430497890120023e-38,2.835994915728966101989026967976130807667005134770939669811885830430497890120023e-38,2.835994915728966101989026967976130807667005134770939669811885830430497890120023e-38,2.835994915728966101989026967976130807667005134770939669811885830430497890120023e-38
0.7000000000000001,4.333487474955200377027423903975119238014538380062002828073626261734348534256958e-38,3.601099393095224641030824525816174982555591912435454259316228390125253346334957e-38,3.601099393095224641030824525816174982555591912435454259316228390125253346334957e-38,3.601099393095224641030824525816174982555591912435454259316228390125253346334957e-38,3.601099393095224641030824525816174982555591912435454259316228390125253346334957e-38,3.601099393095224641030824525816174982555591912435454259316228390125253346334957e-38
0.7500000000000001,-0.0,9.242381730525331665789628860463827512696351477030655119482868232544344724850957e-39,9.242381730525331665789628860463827512696351477030655119482868232544344724850957e-39,9.242381730525331665789628860463827512696351477030655119482868232544344724850957e-39,9.242381730525331665789628860463827512696351477030655119482868232544344724850957e-39,9.242381730525331665789628860463827512696351477030655119482868232544344724850957e-39
0.8000000000000002,4.877182310803065552081938668651705693840970927690729779211539193406427890039889e-38,3.331906594982123212126465293583934400202631146117453083763371104793288602498005e-39,3.331906594982123212126465293583934400202631146117453083763371104793288602498005e-39,3.331906594982123212126465293583934400202631146117453083763371104793288602498005e-39,3.331906594982123212126465293583934400202631146117453083763371104793288602498005e-39,3.331906594982123212126465293583934400202631146117453083763371104793288602498005e-39
0.8500000000000002,5.223368051740042128209620496304828177669801993583550069539907169564874056533199e-38,-0.0,-0.0,-0.0,-0.0,-0.0
0.9000000000000002,4.827103266804413710155971349676225205431255326266697003655782178870038150870606e-39,6.32104437520267661093702326237984869554153694418023306474395311838628689127868e-38,6.32104437520267661093702326237984869554153694418023306474395311838628689127868e-38,6.32104437520267661093702326237984869554153694418023306474395311838628689127868e-38,6.32104437520267661093702326237984869554153694418023306474395311838628689127868e-38,6.32104437520267661093702326237984869554153694418023306474395311838628689127868e-38
0.9500000000000003,5.07462862754275187717963678270787614077236231316783591602136878674361899599809e-38,4.203195864781055565870166665124110836296292054153922453759677913526141078130857e-38,4.203195864781055565870166665124110836296292054153922453759677913526141078130857e-38,4.203195864781055565870166665124110836296292054153922453759677913526141078130857e-38,4.203195864781055565870166665124110836296292054153922453759677913526141078130857e-38,4.203195864781055565870166665124110836296292054153922453759677913526141078130857e-38
1.0000000000000002,8.959700593914028018315262736134972731953665309114900748206374499704920466595815e-39,-0.0,-0.0,-0.0,-0.0,-0.0
