times,C_5,C_10,C_20,C_30,C_40,C_50,SvN,chi
0.5499999999999999,0.0,3.673644054073945327112000474446239162484916649234140523111523764770387121346594e-40,3.673644054073945327112000474446239162484916649234140523111523764770387121346594e-40,3.673644054073945327112000474446239162484916649234140523111523764770387121346594e-40,3.673644054073945327112000474446239162484916649234140523111523764770387121346594e-40,3.673644054073945327112000474446239162484916649234140523111523764770387121346594e-40,"[-1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0007089270474524925, 0.0006641123204742527, 0.3658477006107108, 0.0002658150326693143, 0.36584632152493707, 0.0006386863997556169, 0.0006820986768277951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0]",6
0.6,1.216712704371322363171000608913044313223538212587611194839241524573417488895449e-38,0.0,0.0,0.0,0.0,0.0,"[-1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001146917635494613, 0.0010629762746896532, 0.4096474226478167, 0.0004903398635911493, 0.40964560701937636, 0.0010322894712260222, 0.0011142367214435724, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0]",6
0.65,2.036201014618650719246953660264055280024176773540056820515698820850450953549485e-38,2.835994915728966101989026967976130807667005134770939669811885830430497890120023e-38,2.835994915728966101989026967976130807667005134770939669811885830430497890120023e-38,2.835994915728966101989026967976130807667005134770939669811885830430497890120023e-38,2.835994915728966101989026967976130807667005134770939669811885830430497890120023e-38,2.835994915728966101989026967976130807667005134770939669811885830430497890120023e-38,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001769573340256532, 0.0016217330728465207, 0.4528747485766011, 0.0008540178190026282, 0.4528724972135161, 0.0015856489518952799, 0.0017307721499265367, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6
0.7000000000000001,4.333487474955200377027423903975119238014538380062002828073626261734348534256958e-38,3.601099393095224641030824525816174982555591912435454259316228390125253346334957e-38,3.601099393095224641030824525816174982555591912435454259316228390125253346334957e-38,3.601099393095224641030824525816174982555591912435454259316228390125253346334957e-38,3.601099393095224641030824525816174982555591912435454259316228390125253346334957e-38,3.601099393095224641030824525816174982555591912435454259316228390125253346334957e-38,"[0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0026250106151229813, 0.0023777988446835874, 0.4952494830251341, 0.0014163056353597714, 0.49524682897445854, 0.0023362725369158177, 0.002579910351954879, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6
0.7500000000000001,-0.0,9.242381730525331665789628860463827512696351477030655119482868232544344724850957e-39,9.242381730525331665789628860463827512696351477030655119482868232544344724850957e-39,9.242381730525331665789628860463827512696351477030655119482868232544344724850957e-39,9.242381730525331665789628860463827512696351477030655119482868232544344724850957e-39,9.242381730525331665789628860463827512696351477030655119482868232544344724850957e-39,"[0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -9.992007221626409e-16, 0.003766532259394876, 0.003371175130301385, 0.5365473199510086, 0.0022513394344734206, 0.5365443367491929, 0.003324258740430741, 0.0037150645381663744, -4.440892098500626e-16, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6
0.8000000000000002,4.877182310803065552081938668651705693840970927690729779211539193406427890039889e-38,3.331906594982123212126465293583934400202631146117453083763371104793288602498005e-39,3.331906594982123212126465293583934400202631146117453083763371104793288602498005e-39,3.331906594982123212126465293583934400202631146117453083763371104793288602498005e-39,3.331906594982123212126465293583934400202631146117453083763371104793288602498005e-39,3.331906594982123212126465293583934400202631146117453083763371104793288602498005e-39,"[0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -7.105427357601002e-15, 0.005251868959592342, 0.004643649254228555, 0.5765970718589878, 0.0034484112687596102, 0.5765938668228014, 0.00459150031561717, 0.005194085201816467, -4.218847493575595e-15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8
0.8500000000000002,5.223368051740042128209620496304828177669801993583550069539907169564874056533199e-38,-0.0,-0.0,-0.0,-0.0,-0.0,"[0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.375077994860476e-14, 0.007142281154224848, 0.006238021398241145, 0.615277709314644, 0.005111692165861159, 0.6152744237768499, 0.006180883600387155, 0.007078340610644011, -2.353672812205332e-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8
0.9000000000000002,4.827103266804413710155971349676225205431255326266697003655782178870038150870606e-39,6.32104437520267661093702326237984869554153694418023306474395311838628689127868e-38,6.32104437520267661093702326237984869554153694418023306474395311838628689127868e-38,6.32104437520267661093702326237984869554153694418023306474395311838628689127868e-38,6.32104437520267661093702326237984869554153694418023306474395311838628689127868e-38,6.32104437520267661093702326237984869554153694418023306474395311838628689127868e-38,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, -1.2467804566540508e-13, 0.009501489376574532, 0.008197333536017037, 0.6525151031478156, 0.007359114116030074, 0.6525119093774477, 0.008135527557439515, 0.009431655358619293, -9.547918011776346e-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0]",8
0.9500000000000003,5.07462862754275187717963678270787614077236231316783591602136878674361899599809e-38,4.203195864781055565870166665124110836296292054153922453759677913526141078130857e-38,4.203195864781055565870166665124110836296292054153922453759677913526141078130857e-38,4.203195864781055565870166665124110836296292054153922453759677913526141078130857e-38,4.203195864781055565870166665124110836296292054153922453759677913526141078130857e-38,4.203195864781055565870166665124110836296292054153922453759677913526141078130857e-38,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, -3.907985046680551e-13, 0.012394480274023529, 0.010564149390589472, 0.6882784386440401, 0.010320449332213988, 0.6882755354737683, 0.010498061375119994, 0.012319112648414244, -3.1818991885756986e-13, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0]",8
1.0000000000000002,8.959700593914028018315262736134972731953665309114900748206374499704920466595815e-39,-0.0,-0.0,-0.0,-0.0,-0.0,"[0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, -1.085576073478478e-12, 0.015886217366056818, 0.01337990253073551, 0.7225762943975754, 0.014134638001283228, 0.7225739014279715, 0.013309972047832463, 0.015805762914305042, -9.21707155043805e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8
